tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 04:20:46,6737abfdcf1a87000729d465,PNUT-USDT,sell,1.8388,1.97,3.622436,0.003622436,maker,USDT,limit,0,,0.003622436,3.626058436,0.00804999999999989,-0.19663900000000087
2024-11-16 04:15:56,6737abd8858fce000747a8c9,PNUT-USDT,buy,1.8028,1.97,3.551516,0.003551516,maker,USDT,limit,0,,0.003551516,3.555067516,0.07092000000000007,-0.1257190000000008
2024-11-16 04:15:33,6737abdf4bcca600078300e4,PNUT-USDT,sell,1.8039,1.97,3.553683,0.003553683,maker,USDT,limit,0,,0.003553683,3.5572366829999997,0.0021670000000001987,-0.1235520000000006
2024-11-16 04:15:21,6737abd9f53c5a00074d0360,PNUT-USDT,buy,1.8053,2.03,3.664759,0.003664759,taker,USDT,market,0,,0.003664759,3.668423759,-0.002841999999999687,-0.12639400000000028
2024-11-16 04:15:19,6737a36198326e0007cc994b,PNUT-USDT,sell,1.801,2.01,3.62001,0.00362001,maker,USDT,limit,0,,0.00362001,3.6236300100000003,-0.00872899999999994,-0.13512300000000022
2024-11-16 03:39:12,6737a35af53c5a0007176c9c,PNUT-USDT,buy,1.7657,2.01,3.549057,0.003549057,maker,USDT,limit,0,,0.003549057,3.5526060569999998,0.07095299999999977,-0.06417000000000045
2024-11-16 03:39:06,6737a34fc95c310007365b99,PNUT-USDT,sell,1.7648,3.65,6.44152,0.00644152,maker,USDT,limit,0,,0.00644152,6.44796152,-0.0018090000000002468,-0.06597900000000069
2024-11-16 03:38:54,6737a347adc212000702c2c3,PNUT-USDT,buy,1.7638,3.65,6.43787,0.00643787,maker,USDT,limit,0,,0.00643787,6.44430787,0.003649999999999598,-0.06232900000000109
2024-11-16 03:38:45,6737994b54d62a0007c7d1db,PNUT-USDT,sell,1.7657,2.05,3.619685,0.003619685,maker,USDT,limit,0,,0.003619685,3.623304685,0.006935000000000046,-0.05539400000000105
2024-11-16 03:37:34,6737a267adc2120007fda940,PNUT-USDT,sell,1.7515,2.03,3.555545,0.003555545,maker,USDT,limit,0,,0.003555545,3.559100545,0.0,-0.05539400000000105
2024-11-16 03:34:57,6737a261adc2120007fd8dce,PNUT-USDT,buy,1.747,0.93,1.62471,0.00162471,taker,USDT,market,0,,0.00162471,1.62633471,0.004184999999999953,-0.051209000000001094
2024-11-16 03:34:57,6737a261adc2120007fd8dce,PNUT-USDT,buy,1.747,1.16,2.02652,0.00202652,taker,USDT,market,0,,0.00202652,2.02854652,0.0,-0.051209000000001094
2024-11-16 03:34:57,6737a259c95c31000730bf64,PNUT-USDT,sell,1.7463,3.68,6.426384,0.006426384,maker,USDT,limit,0,,0.006426384,6.432810384,-0.0008120000000001681,-0.05202100000000126
2024-11-16 03:34:48,6737a2581d476000079da560,PNUT-USDT,buy,1.7466,1.98,3.458268,0.003458268,taker,USDT,market,0,,0.003458268,3.461726268,-0.0005939999999999345,-0.052615000000001196
2024-11-16 03:34:47,6737a257c95c31000730b523,PNUT-USDT,buy,1.7469,1.47,2.567943,0.002567943,taker,USDT,market,0,,0.002567943,2.570510943,0.0,-0.052615000000001196
2024-11-16 02:56:10,6737993e08e10c000727d01d,PNUT-USDT,buy,1.7311,2.05,3.548755,0.003548755,maker,USDT,limit,0,,0.003548755,3.552303755,0.0,-0.052615000000001196
2024-11-16 02:55:57,67378f54f53c5a000799a1f2,PNUT-USDT,sell,1.7295,0.01,0.017295,1.7295e-05,maker,USDT,limit,0,,1.7295e-05,0.017312295000000002,-0.0032800000000000936,-0.05589500000000129
2024-11-16 02:55:57,67378f54f53c5a000799a1f2,PNUT-USDT,sell,1.7295,2.08,3.59736,0.00359736,maker,USDT,limit,0,,0.00359736,3.60095736,0.0,-0.05589500000000129
2024-11-16 02:16:22,67378f55d181be000720e256,PNUT-USDT,sell,1.6952,2.09,3.542968,0.003542968,maker,USDT,limit,0,,0.003542968,3.546510968,0.0,-0.05589500000000129
2024-11-16 02:13:40,67378f534bcca60007cf8e70,PNUT-USDT,buy,1.6955,3.79,6.425945,0.006425945,maker,USDT,limit,0,,0.006425945,6.432370945,-0.0011369999999998749,-0.057032000000001165
2024-11-16 02:13:39,67378f53355a3600071dc93f,PNUT-USDT,sell,1.6959,2.09,3.544431,0.003544431,taker,USDT,limit,0,,0.003544431,3.547975431,0.001515999999999833,-0.055516000000001335
2024-11-16 02:13:38,67378f49ae43c40007433614,PNUT-USDT,buy,1.6956,2.09,3.543804,0.003543804,maker,USDT,limit,0,,0.003543804,3.547347804,0.0006269999999999309,-0.0548890000000014
2024-11-16 02:13:27,67378f474bcca60007cf384b,PNUT-USDT,sell,1.693,3.69,6.24717,0.00624717,taker,USDT,market,0,,0.00624717,6.25341717,-0.005433999999999865,-0.060323000000001264
2024-11-16 01:35:06,673786403cda650007ccb4f9,PNUT-USDT,buy,1.743,3.69,6.43167,0.00643167,maker,USDT,limit,0,,0.00643167,6.43810167,-0.18450000000000016,-0.24482300000000143
2024-11-16 01:32:51,6737859bab0f0a00070dde77,PNUT-USDT,sell,1.7232,3.73,6.427536,0.006427536,maker,USDT,limit,0,,0.006427536,6.433963536,-0.07306200000000014,-0.3178850000000016
2024-11-16 01:32:10,6737843a2ab01000071df6cd,PNUT-USDT,buy,1.7257,3.66,6.316062,0.006316062,maker,USDT,limit,0,,0.006316062,6.322378061999999,-0.009149999999999806,-0.3270350000000014
2024-11-16 01:26:15,6737843754d62a00073da3fc,PNUT-USDT,sell,1.761,3.66,6.44526,0.00644526,taker,USDT,limit,0,,0.00644526,6.45170526,0.1291979999999996,-0.19783700000000182
2024-11-16 01:26:11,6737822a1d47600007d330fb,PNUT-USDT,buy,1.7597,3.58,6.299726,0.006299726,maker,USDT,limit,0,,0.006299726,6.306025726,0.0046539999999994875,-0.19318300000000233
